xid,haz_50yr_cT2,haz_200yr_cT2,haz_100yr_cT2,haz_1000yr_cT2
14879,11.53380298614502,12.372537612915039,12.076109886169434,12.716447830200195
14880,11.528007507324219,12.367313385009766,12.070693016052246,12.711297035217285
14925,11.57548999786377,12.410107612609863,12.115073204040527,12.753494262695312
14926,11.551748275756836,12.388710975646973,12.092883110046387,12.735912322998047
14927,11.5773286819458,12.413421630859375,12.118510246276855,12.755128860473633
14928,11.561222076416016,12.395591735839844,12.100018501281738,12.735664367675781
14933,11.553145408630371,12.389969825744629,12.094188690185547,12.737154006958008
14934,11.550468444824219,12.387557029724121,12.091686248779297,12.727742195129395
14935,11.546232223510742,12.383739471435547,12.087726593017578,12.731010437011719
14936,11.56078052520752,12.3968505859375,12.101324081420898,12.740422248840332
14937,11.548070907592773,12.385396003723145,12.089446067810059,12.730761528015137
14938,11.566296577453613,12.401822090148926,12.10647964477539,12.74532413482666
14939,11.571812629699707,12.406793594360352,12.111635208129883,12.750226974487305
14940,11.569973945617676,12.405136108398438,12.109916687011719,12.748592376708984
14941,11.520931243896484,12.360937118530273,12.064079284667969,12.705009460449219
14942,11.51357650756836,12.357874870300293,12.060903549194336,12.69847297668457
14943,11.530684471130371,12.373292922973633,12.076892852783203,12.717192649841309
14944,11.521490097045898,12.361440658569336,12.06460189819336,12.709022521972656
14945,11.541275024414062,12.379271507263184,12.083093643188477,12.719572067260742
14946,11.533361434936523,12.372138977050781,12.07569694519043,12.716054916381836
14947,11.549188613891602,12.386404037475586,12.090490341186523,12.726604461669922
14948,11.540716171264648,12.378767967224121,12.082571029663086,12.722591400146484
14955,11.513017654418945,12.353804588317871,12.056682586669922,12.697976112365723
15152,11.50477123260498,12.344066619873047,12.046916007995605,12.687969207763672
15155,11.526448249816895,12.3659086227417,12.069235801696777,12.706395149230957
17873,,12.481325149536133,,12.82020378112793
17899,11.235100746154785,12.051095008850098,11.760359764099121,12.378049850463867
17900,11.212799072265625,12.026734352111816,11.736531257629395,12.348488807678223
17907,11.727132797241211,12.543209075927734,12.253107070922852,12.88474178314209
71528,11.69040298461914,12.513672828674316,12.2224760055542,12.853734016418457
74651,11.622017860412598,12.452040672302246,12.158559799194336,12.798359870910645
75511,,,,
